Gene	sgRNA	ctrl_05_1|beta	gdt_05_1|beta	ctrl_1_1|beta	gdt_1_1|beta
PROCR	4	0.28	0.35	0.27	1.85
MGAT5	4	0.31	0.42	0.30	1.62
FUT4	4	0.25	0.38	0.26	1.55
TM9SF3	4	0.33	0.40	0.29	1.42
SLC35C1	4	0.22	0.31	0.24	1.28
MGAT1	4	0.26	0.33	0.25	1.15
MGAT2	4	0.29	0.36	0.28	1.08
B3GLCT	4	0.24	0.30	0.23	0.92
GMDS	4	0.27	0.34	0.26	0.78
MAN2A1	4	0.30	0.37	0.29	0.65
TSTA3	4	0.23	0.28	0.22	0.58
FUT3	4	0.25	0.29	0.24	0.52
FUT5	4	0.28	0.32	0.27	0.48
SEMA4D	4	0.43	0.28	0.27	0.56
GSTZ1	4	0.40	0.19	0.25	0.43
SGMS1	4	0.44	0.31	0.34	0.55
BRCA1	4	0.20	0.22	0.18	0.25
TP53	4	0.19	0.21	0.17	0.22
GAPDH	4	0.15	0.16	0.14	0.18
ACTB	4	0.12	0.13	0.11	0.12
EGFR	4	0.22	0.20	0.21	0.19
MYC	4	0.25	0.23	0.24	0.21
KRAS	4	0.18	0.17	0.19	0.18
NRAS	4	0.20	0.19	0.21	0.20
PTEN	4	0.16	0.15	0.17	0.16
PIK3CA	4	0.23	0.22	0.24	0.23
CDKN2A	4	0.21	0.20	0.22	0.21
RB1	4	0.19	0.18	0.20	0.19
MDM2	4	0.27	0.25	0.26	0.24
VHL	4	0.14	0.12	0.15	0.10
NF1	4	0.17	0.16	0.18	0.14
APC	4	0.24	0.22	0.23	0.20
SMAD4	4	0.20	0.18	0.19	0.17
TGFB1	4	0.22	0.19	0.21	0.15
IL6	4	0.26	0.24	0.25	0.22
TNF	4	0.23	0.21	0.22	0.18
IFNG	4	0.19	0.17	0.18	0.14
CD274	4	0.28	0.26	0.27	0.23
CTLA4	4	0.25	0.23	0.24	0.20
PDCD1	4	0.21	0.19	0.20	0.16
LAG3	4	0.18	0.15	0.17	0.12
IDO1	4	0.24	0.21	0.23	0.18
STAT1	4	0.30	0.28	0.29	0.25
JAK2	4	0.22	0.20	0.21	0.17
HLA-A	4	0.15	0.10	0.14	0.05
HLA-B	4	0.16	0.11	0.15	0.06
B2M	4	0.18	0.13	0.17	0.08
TAP1	4	0.20	0.14	0.19	0.09
TAP2	4	0.19	0.13	0.18	0.08
NEG1	4	0.50	0.45	0.55	0.02
NEG2	4	0.48	0.42	0.52	-0.05
NEG3	4	0.52	0.46	0.58	0.01
NEG4	4	0.45	0.40	0.50	-0.08
NEG5	4	0.55	0.48	0.60	-0.02
