"gene_name","tpm","tpm_log2","omicsoft_land","primary_indication","sample_id","gross_anatomical_region"
"BTNL3",2.1,1.23,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"BTNL3",1.8,1.1,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"BTNL3",3,1.65,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"BTNL8",0.5,0,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"BTNL8",0.4,0,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"BTNL8",1.2,0.58,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"FUT3",5.2,2.58,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"FUT3",4.1,2.22,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"FUT3",3,1.8,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"FUT4",8.5,3.25,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"FUT4",7.2,3,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"FUT4",4.2,2.38,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"FUT5",2,1.2,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"FUT5",2.5,1.45,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"FUT5",1.8,1.05,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"FUT9",1.1,0.65,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"FUT9",1.3,0.75,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"FUT9",0.9,0.5,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"GMDS",12,3.68,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"GMDS",10.5,3.52,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"GMDS",8,3.15,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"MAN1A1",6.2,2.78,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"MAN1A1",5,2.52,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"MAN1A1",7.1,2.98,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"MAN1A2",3.5,2,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"MAN1A2",4,2.15,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"MAN1A2",2.8,1.75,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"MGAT1",15,4,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"MGAT1",14.2,3.92,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"MGAT1",11,3.55,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"MGAT2",9,3.25,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"MGAT2",8.5,3.15,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"MGAT2",6.2,2.75,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"MGAT5",4.2,2.38,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"MGAT5",5,2.58,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"MGAT5",3,2,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"PROCR",8.5,3.25,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"PROCR",9.2,3.35,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"PROCR",2.1,1.23,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"SLC35C1",7,2.95,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"SLC35C1",6.5,2.85,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"SLC35C1",5,2.52,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"TM9SF1",4.5,2.35,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"TM9SF1",4,2.22,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"TM9SF1",3.2,1.95,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"TM9SF3",3.8,2.15,"TCGA","Colorectal cancer","TCGA-DEMO-01",NA
"TM9SF3",4.2,2.25,"TCGA","Colorectal cancer","TCGA-DEMO-02",NA
"TM9SF3",2.5,1.65,"TCGA","Breast cancer","TCGA-DEMO-03",NA
"BTNL3",1.5,0.9,"GTEX",NA,"GTEX-DEMO-01","Large intestine"
"BTNL3",1.8,1.1,"GTEX",NA,"GTEX-DEMO-02","Large intestine"
"BTNL3",2,1.15,"GTEX",NA,"GTEX-DEMO-03","Breast"
"BTNL8",0.3,0,"GTEX",NA,"GTEX-DEMO-01","Large intestine"
"BTNL8",0.5,0,"GTEX",NA,"GTEX-DEMO-02","Large intestine"
"BTNL8",0.4,0,"GTEX",NA,"GTEX-DEMO-03","Breast"
"FUT3",4,2.22,"GTEX",NA,"GTEX-DEMO-01","Large intestine"
