cell_line,B3GLCT,FUT4,MGAT5,PROCR,SLC35C1,TM9SF3,MGAT1,MGAT2,resp_status
786O,12.16,14.14,8.2,22.1,45.0,102.0,88.0,55.0,0
AGS,8.12,37.18,15.3,85.2,62.0,316.0,92.0,61.0,1
A253,11.0,18.0,9.0,25.0,48.0,120.0,90.0,58.0,0
HCT116,9.5,42.0,18.0,95.0,70.0,280.0,95.0,65.0,1
SW480,10.2,16.5,8.5,28.0,42.0,110.0,85.0,52.0,0
HT29,8.8,38.0,16.0,88.0,65.0,290.0,93.0,63.0,1
RKO,12.0,15.0,7.8,24.0,40.0,98.0,82.0,50.0,0
DLD1,9.0,40.0,17.0,82.0,68.0,270.0,91.0,62.0,1
Caco2,11.5,20.0,10.0,35.0,55.0,140.0,87.0,56.0,0
LoVo,8.2,35.0,14.0,78.0,60.0,250.0,89.0,60.0,1
MCF7,10.0,22.0,11.0,40.0,52.0,150.0,86.0,54.0,0
MDA-MB-231,9.5,32.0,13.0,72.0,58.0,230.0,88.0,59.0,1
A549,11.8,17.0,8.0,26.0,44.0,105.0,84.0,51.0,0
H1299,8.5,36.0,15.5,80.0,63.0,260.0,90.0,61.0,1
U87,10.5,19.0,9.5,30.0,50.0,130.0,83.0,53.0,0
HeLa,9.2,34.0,14.5,75.0,59.0,240.0,87.0,58.0,1
OVCAR3,11.2,21.0,10.5,38.0,54.0,145.0,85.0,55.0,0
SKOV3,8.0,39.0,16.5,90.0,67.0,300.0,94.0,64.0,1
PC3,10.8,18.5,9.2,27.0,46.0,115.0,81.0,49.0,0
DU145,9.8,33.0,13.5,74.0,57.0,225.0,86.0,57.0,1
HepG2,11.0,23.0,11.5,42.0,56.0,160.0,88.0,56.0,0
SNU449,8.3,37.0,15.0,84.0,64.0,275.0,92.0,62.0,1
Panc1,10.2,16.0,8.2,23.0,41.0,100.0,80.0,48.0,0
MiaPaCa2,9.6,31.0,12.0,68.0,55.0,210.0,84.0,56.0,1
A498,11.5,20.5,10.2,36.0,51.0,138.0,82.0,52.0,0
Caki1,8.7,35.5,14.2,79.0,61.0,255.0,91.0,60.0,1
T24,10.0,19.5,9.8,32.0,49.0,128.0,84.0,54.0,0
RT4,9.3,34.5,13.8,76.0,60.0,235.0,89.0,59.0,1
A375,11.2,17.5,8.8,29.0,47.0,118.0,83.0,51.0,0
WM793,8.9,36.5,15.2,86.0,66.0,285.0,93.0,63.0,1
