,786O,AGS,A253,HCT116,SW480,HT29,RKO,DLD1,Caco2,LoVo,MCF7,MDA-MB-231
ENSG00000115705,12,85,25,95,28,88,24,82,35,78,40,72
ENSG00000188786,45,120,55,135,50,125,48,130,62,118,58,110
ENSG00000130702,22,68,28,72,26,70,25,74,30,69,32,65
ENSG00000116032,8,15,10,18,9,16,8,17,11,14,10,15
ENSG00000171174,120,95,110,88,115,92,118,90,105,94,108,96
ENSG00000133661,50,52,48,55,49,54,47,56,51,53,50,52
ENSG00000075624,200,210,195,220,198,215,202,218,205,212,208,214
ENSG00000157764,88,92,85,95,86,93,87,94,89,91,88,90
ENSG00000141510,35,38,33,40,34,39,36,37,35,40,34,38
ENSG00000012048,75,78,72,80,74,79,73,81,76,77,75,78
ENSG00000146674,42,45,40,48,41,46,43,47,42,44,41,45
ENSG00000134086,60,65,58,68,59,66,61,67,62,64,60,63
ENSG00000171862,28,32,26,35,27,33,29,34,28,31,27,32
ENSG00000141738,95,88,92,85,94,87,93,86,96,89,95,84
ENSG00000139618,18,25,16,28,17,26,19,27,20,24,18,23
ENSG00000165995,55,62,52,65,54,63,56,64,57,61,55,60
ENSG00000133703,38,42,36,45,37,43,39,44,40,41,38,42
ENSG00000196584,72,78,70,82,71,79,73,80,74,77,72,76
ENSG00000101280,105,98,102,95,104,97,103,96,106,99,105,94
ENSG00000101347,44,48,42,50,43,49,45,51,44,47,43,48
ENSG00000000419,310,305,315,300,312,308,311,302,314,306,313,304
ENSG00000000938,280,275,285,270,282,278,281,272,284,276,283,274
ENSG00000134352,65,70,62,72,64,69,66,71,67,68,65,70
ENSG00000139644,82,88,80,90,81,89,83,91,84,87,82,86
ENSG00000155657,25,30,23,32,24,29,26,31,27,28,25,30
